model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,mean_rating,distance_sum,rating_min,speed_max,user_ride_quality_median,deviation_normal_count,user_uniq,target_bin
Skoda Rapid,economy,petrol,4.7,2017,109697,2021,4.341034482758621,10723459.266067224,0.1,199.88926587922344,-8.996741413000517,174,172,1
VW Polo VI,economy,petrol,3.42,2012,22261,2014,4.56867816091954,6596599.410381081,0.1,99.40808742247174,-0.4871508047203716,174,173,0
Mini Cooper,business,petrol,3.26,2013,48070,2016,4.371149425287356,10039257.06231372,0.1,182.4054623537517,-2.122749655234274,174,172,1
Renault Sandero,standart,petrol,5.14,2011,18628,2020,4.122413793103448,8913479.75499434,0.1,167.53882607433934,5.983658596316768,174,173,0
Skoda Rapid,economy,petrol,3.48,2017,128159,2017,3.925114942528736,19384103.001548592,0.1,176.98447366780988,-0.6738196606974118,174,171,0
Smart Coupe,economy,petrol,4.02,2015,80183,2017,4.347413793103448,9238479.808522522,0.1,164.44147310022723,-5.9965409455522085,174,174,0
Kia Rio X,economy,petrol,4.98,2012,20772,2016,4.60896551724138,8820497.211971529,0.1,179.7583006041497,-18.788916039859124,174,172,0
Hyundai Solaris,economy,petrol,4.02,2015,72800,2020,4.110114942528735,15220442.532031942,0.1,179.61804476901682,-12.04534488335598,174,172,0
VW Polo VI,economy,petrol,5.64,2014,66305,2020,4.780919540229885,15158847.443684507,0.14,119.0,-13.8941252664933,174,174,0
Kia Rio,economy,petrol,3.18,2011,109,2016,3.9791954022988505,11002783.37579502,0.1,182.0,14.36867310379492,174,171,1
Smart ForFour,economy,petrol,5.22,2013,41121,2017,4.32867816091954,16383163.738025274,0.1,165.41888157592098,-5.71560672798965,174,170,0
Kia Rio,economy,petrol,4.18,2015,78338,2018,4.202931034482758,13129758.68331423,0.0,200.0,-8.029200180549427,174,174,0
Kia Rio X,economy,petrol,3.04,2015,84778,2020,4.670574712643678,11224021.160501378,0.1,128.6081739429445,2.175754163575628,174,172,0
Kia Rio X,economy,petrol,3.12,2015,80270,2019,4.378218390804597,8632883.445290618,0.1,155.0373454944734,16.572580111670497,174,171,0
Smart ForFour,economy,petrol,4.34,2013,41482,2019,4.938505747126436,8834685.588602964,0.1,183.0,-8.99144851309764,174,173,0
VW Polo,economy,petrol,4.28,2012,25882,2017,4.042643678160919,15239660.05885283,0.1,184.05052424110104,5.624670101905386,174,171,0
Smart ForFour,economy,petrol,2.94,2016,95904,2019,4.6819540229885055,13067984.189968538,0.1,192.0,1.8300891133210373,174,170,0
Tesla Model 3,premium,electro,3.58,2016,89811,2018,4.648448275862069,10237556.049649894,0.1,195.2439613171936,6.716249224382176,174,147,0
Smart ForTwo,economy,petrol,6.04,2014,61877,2015,4.3372988505747125,21308740.15601186,0.1,177.03417210125264,0.95251124812314,174,169,0
Kia Sportage,standart,petrol,4.76,2013,46432,2016,3.748620689655173,18364993.138738506,0.1,187.0,5.559501687200246,174,174,0
Smart ForTwo,economy,petrol,4.72,2016,111683,2016,4.267988505747127,20956875.41799712,0.1,162.29877905302413,-6.4449190087185055,174,173,0
Hyundai Solaris,economy,petrol,4.4,2014,55154,2021,5.328390804597701,16089425.927670032,0.1,113.68580195567236,-20.00232656649853,174,173,0
Fiat 500,business,petrol,5.16,2015,80937,2022,4.450114942528736,13835524.77226239,0.1,159.69889100318608,21.821151339388727,174,172,0
Renault Sandero,standart,petrol,3.86,2012,22419,2019,4.129540229885057,18377032.53300276,0.1,190.9486179582776,8.30425881052195,174,172,1
Hyundai Solaris,economy,petrol,4.0,2012,19243,2014,4.10551724137931,12573265.740787512,0.1,185.50880081960668,-3.250881785911149,174,173,1
Kia Rio X,economy,petrol,5.3,2012,22234,2022,4.804022988505747,14639836.826308446,0.33,194.0,10.50707295294547,174,170,0
VW Polo,economy,petrol,5.28,2015,76719,2020,4.152873563218391,15504226.575770924,0.1,159.72187442931693,15.72559424294161,174,172,0
Smart ForTwo,economy,petrol,5.62,2015,77620,2016,3.9685057471264367,17688400.945819218,0.1,191.4318597471467,11.442993992124553,174,173,0
Smart ForFour,economy,petrol,2.36,2017,109830,2018,4.886264367816092,7158548.788595083,0.1,196.0,8.05814759220646,174,170,0
Kia Rio X,economy,petrol,2.2,2012,22872,2022,4.6994252873563225,13137940.33858752,0.1,126.00949600809513,-0.5837355649028773,174,171,0
Kia Rio X-line,economy,petrol,4.14,2015,87419,2020,4.107126436781609,7033562.804864312,0.1,185.326009245476,-0.0768106475854559,174,170,0
Skoda Rapid,economy,petrol,3.42,2015,90601,2020,5.354770114942529,20084373.430179667,0.1,109.9067149081344,16.419070256088773,174,172,0
Kia Sportage,standart,petrol,4.7,2013,46648,2019,3.842068965517241,20814137.94661303,0.1,193.3685732877934,-20.741253005313965,174,171,0
Renault Sandero,standart,petrol,4.12,2015,81653,2016,4.267183908045977,23627229.7862401,0.1,173.04906333826102,-8.453459755904554,174,171,0
VW Tiguan,economy,petrol,4.16,2017,132600,2019,4.410057471264368,18615633.24325417,0.1,173.46117014572314,-15.235401150639431,174,173,1
Kia Rio,economy,petrol,4.36,2011,1439,2017,4.748850574712644,19106733.85868665,0.1,196.045081713896,-3.7901057553892814,174,170,0
Smart ForFour,economy,petrol,5.24,2017,124530,2015,4.436149425287356,16621788.214357773,0.1,200.0,-0.2866634291256806,174,173,0
VW Polo VI,economy,petrol,4.46,2011,11754,2017,4.068620689655172,11967036.665432936,0.1,189.8047665509525,-25.719318829767023,174,174,0
Kia Rio X-line,economy,petrol,5.96,2012,20930,2018,5.39235632183908,13699937.498471092,1.22,126.61832377854712,-14.987729646020648,174,174,0
Nissan Qashqai,standart,petrol,3.38,2013,43909,2020,4.244712643678161,11638027.048504008,0.1,194.8169460268608,-8.427917893324182,174,174,0
Kia Sportage,standart,petrol,3.78,2015,86476,2018,4.208390804597701,11921403.331871446,0.1,182.0445787879931,10.043601192591131,174,172,0
VW Polo,economy,petrol,3.52,2013,47288,2019,4.446551724137931,8451909.26204301,0.1,136.63040685162372,-0.5080855948020266,174,172,0
Kia Sportage,standart,petrol,4.08,2015,71427,2017,4.258965517241379,12475584.667702593,0.0,179.0,-2.2984534606651548,174,172,0
Smart ForFour,economy,petrol,5.28,2013,47865,2017,4.119195402298851,12746073.357870394,0.1,180.25959685932625,-17.48075695344467,174,174,0
Smart ForFour,economy,petrol,4.3,2015,88693,2015,5.636091954022988,13197322.489497326,0.1,120.08519408646436,-11.222892900478886,174,172,0
Smart ForFour,economy,petrol,2.32,2017,129623,2019,3.978620689655172,5160139.63399371,0.1,185.30720473884284,1.6347755362785463,174,173,0
Smart ForFour,economy,petrol,5.52,2017,126000,2015,4.374367816091954,9896285.8998135,0.15,102.5502181006026,0.6442602632627388,174,174,0
VW Polo,economy,petrol,5.56,2012,21871,2016,4.671551724137931,7485421.708839286,0.79,161.3040638815686,-2.414701505547702,174,170,0
VW Polo,economy,petrol,3.06,2013,39692,2016,4.606034482758621,11360905.55087432,0.1,160.0,-8.924734043175732,174,174,0
Kia Sportage,standart,petrol,5.02,2015,79029,2019,4.069367816091955,18711347.50068034,0.0,176.2560884982147,-10.704431399869248,174,170,0
Kia Sportage,standart,petrol,2.82,2015,81505,2017,4.5297701149425285,10254335.08072789,0.1,110.32876720748573,18.48466027232657,174,172,0
Renault Sandero,standart,petrol,4.08,2013,35273,2022,4.527126436781609,8927982.606845142,0.1,166.79793971734432,-16.026698080439793,174,173,0
VW Polo,economy,petrol,4.24,2011,5693,2018,4.075057471264367,7933177.037785909,0.1,189.99768465057588,9.704320382287964,174,172,1
Skoda Rapid,economy,petrol,3.7,2015,74119,2019,4.68867816091954,13937046.696911572,0.1,115.0,-11.539166291628636,174,172,0
Skoda Rapid,economy,petrol,4.4,2016,115249,2016,4.09028735632184,14464944.41946513,0.1,173.46929074424847,3.3517163201860063,174,172,0
Kia Rio X-line,economy,petrol,4.72,2012,22087,2018,4.206264367816092,20051476.56888516,0.1,149.3680569656025,-10.354821073211076,174,171,0
Mercedes-Benz GLC,business,petrol,4.96,2013,39729,2021,3.9744252873563215,15140105.237878496,0.1,176.0704027710107,11.629286114764293,174,165,0
VW Tiguan,economy,petrol,3.62,2017,127194,2020,4.050114942528736,12869711.92809276,0.1,167.51723312036128,-1.0427069209863664,174,173,0
Kia Sportage,standart,petrol,4.32,2013,40977,2015,4.630862068965517,13040322.728814466,0.1,156.0,-9.01577663206528,174,170,0
Kia Rio X-line,economy,petrol,4.34,2013,45381,2016,4.107586206896552,25303644.79763269,0.0,195.2861626427412,3.737604503452881,174,173,0
Nissan Qashqai,standart,petrol,4.22,2013,46259,2015,3.955,12452369.6198294,0.1,175.61102217329213,-0.4406916471015173,174,170,0
Kia Rio X-line,economy,petrol,5.16,2011,6954,2015,4.432183908045977,7336217.50770444,0.61,112.35296240295077,4.103829028917091,174,172,0
Renault Kaptur,standart,petrol,4.72,2011,4209,2022,5.197068965517241,16467545.38110294,0.1,111.80345313624804,8.880643042332322,174,174,0
VW Tiguan,economy,petrol,4.24,2017,113201,2021,4.254080459770115,10514408.148179604,0.1,187.92088758471965,-5.987657208672835,174,174,1
BMW 320i,business,petrol,4.02,2014,58695,2020,4.675919540229885,16607283.682428492,0.1,158.50322429837283,-12.659579900950336,174,170,0
Renault Sandero,standart,petrol,4.7,2014,75248,2018,4.094252873563218,10264649.906511132,0.1,195.18456912262545,-14.36281843198557,174,172,1
Audi A4,premium,petrol,6.02,2014,67985,2021,4.557873563218391,10418342.31342751,0.1,108.51946819318027,5.560742444263441,174,170,0
Kia Sportage,standart,petrol,4.18,2015,75858,2018,4.8612068965517246,8857526.136527807,0.1,167.23283788179316,9.57621147540162,174,173,0
Kia Rio X,economy,petrol,4.2,2015,83400,2014,4.150977011494253,6636083.92089784,0.1,194.5313150545371,-1.8990643484478968,174,172,0
Nissan Qashqai,standart,petrol,4.4,2015,87391,2019,4.157413793103448,18959156.999617357,0.1,193.5739295092904,-2.069337824228185,174,174,0
VW Polo,economy,petrol,4.3,2014,71807,2022,4.523103448275862,15302309.957840148,0.1,101.74359099449605,-16.425079814785512,174,174,0
Nissan Qashqai,standart,petrol,5.78,2015,93706,2017,4.175689655172414,9684175.76775992,0.1,195.8715085366833,9.120052692447274,174,173,1
VW Tiguan,economy,petrol,5.08,2014,57442,2017,4.169942528735633,21889645.11673734,0.1,174.15821427344915,-2.3107035962748066,174,172,1
Audi Q3,premium,petrol,4.52,2016,92850,2022,4.105919540229885,7703850.686749467,0.0,185.08461278706253,9.544074741570167,174,173,0
Kia Rio X,economy,petrol,4.74,2011,5334,2017,5.449022988505747,16928112.346710533,0.58,103.72493460170924,3.54475824442632,174,174,0
Kia Rio X-line,economy,petrol,4.8,2011,1876,2017,4.274597701149425,13939927.20733248,0.0,199.89739857965424,-8.74373389081688,174,172,0
Smart Coupe,economy,petrol,4.38,2016,96277,2016,4.092586206896552,20612138.66527738,0.0,158.97588577793218,-6.57700928448843,174,173,0
Kia Rio,economy,petrol,5.1,2014,61248,2016,4.35183908045977,13568653.444431216,0.23,163.85365932663854,1.5594745408630764,174,174,0
VW Tiguan,economy,petrol,5.82,2016,102626,2017,4.516091954022988,14983326.476873044,0.1,153.0,28.02089854076096,174,172,0
Hyundai Solaris,economy,petrol,4.28,2012,19784,2017,5.433448275862069,12605818.308884509,0.5,112.95927324568466,18.83098149875872,174,174,0
VW Tiguan,economy,petrol,4.7,2013,43382,2020,4.344080459770115,8092773.3986076275,0.1,102.91040144607732,16.65384903902447,174,173,0
Skoda Rapid,economy,petrol,3.02,2017,130192,2014,3.9597701149425286,22551500.65433456,0.1,180.9163530193012,4.481019340753473,174,172,0
Skoda Rapid,economy,petrol,4.32,2013,39955,2016,4.690344827586207,11775251.208169276,0.0,189.76002902562985,-18.02065465396565,174,172,0
Kia Sportage,standart,petrol,2.54,2015,81075,2016,4.499080459770116,14756810.157329485,0.1,105.29097027079976,2.073918887691212,174,172,0
Renault Sandero,standart,petrol,4.9,2015,84878,2016,4.986609195402298,10284077.411581798,0.57,117.71189851291987,6.502472688119573,174,174,0
Nissan Qashqai,standart,petrol,3.64,2015,88467,2022,4.208045977011494,17905936.582677346,0.1,179.59710559588757,10.212783183334276,174,172,0
VW Tiguan,economy,petrol,2.96,2013,36650,2022,4.479597701149426,17412725.51580621,0.1,157.22385771459471,-8.886112737172542,174,170,0
Renault Sandero,standart,petrol,4.58,2015,77531,2015,4.572183908045977,14241596.179799424,0.1,165.08810537896602,-4.8531764929141,174,171,0
Renault Sandero,standart,petrol,3.58,2013,46708,2017,4.151551724137931,14261048.924189748,0.1,185.7531778228108,-17.18256728647398,174,172,0
Smart Coupe,economy,petrol,4.44,2017,135192,2018,4.556436781609196,8986406.441877333,0.16,113.06371740992842,4.7756516946607,174,171,0
Smart ForFour,economy,petrol,5.14,2015,73604,2017,4.559252873563218,12442866.73260258,0.44,103.37714424951857,-14.441187515283994,174,170,0
Kia Rio,economy,petrol,4.24,2013,40772,2016,4.337758620689655,14514242.610658327,0.1,180.95105856087332,4.568321828969826,174,174,0
Kia Sportage,standart,petrol,5.56,2012,21395,2018,4.370689655172414,18004812.79552468,0.1,193.52150143052245,-3.476174619206088,174,171,1
Kia Rio X-line,economy,petrol,3.82,2013,44337,2017,4.064655172413793,24598490.313839316,0.0,187.24103112798144,-3.9702095636899895,174,174,0
Kia Rio X-line,economy,petrol,5.9,2013,41179,2020,3.942068965517241,17948590.386832353,0.0,160.62432160903296,-1.4392251796935196,174,172,0
Renault Sandero,standart,petrol,4.12,2015,73441,2018,4.189655172413793,19087177.12036739,0.1,193.39175021079745,-21.70728425923096,174,173,1
Smart ForFour,economy,petrol,3.26,2014,60524,2021,3.9982758620689656,10415439.865621528,0.1,193.6793229926388,8.283410380123755,174,173,1
Smart Coupe,economy,petrol,4.38,2016,95641,2020,4.156206896551724,12272443.429408368,0.0,200.0,1.392986981489313,174,173,0
Kia Rio X,economy,petrol,5.9,2011,6550,2020,4.501896551724138,11519489.14230876,0.1,143.5682345264992,0.2658080464241273,174,169,0
VW Tiguan,economy,petrol,4.56,2015,82940,2021,4.0248275862068965,11807703.335587384,0.0,192.45785026244403,3.253655816519375,174,174,0
Smart ForFour,economy,petrol,4.66,2017,122882,2021,4.23948275862069,14056062.002109865,0.1,191.93403535267203,9.167280377301086,174,173,0
VW Polo VI,economy,petrol,2.1,2015,89960,2018,4.147758620689656,13435315.158084646,0.1,187.86917597722763,-8.615668106907716,174,172,1
Renault Kaptur,standart,petrol,5.4,2014,69549,2016,4.692701149425287,8858392.382318025,0.1,167.52398525605378,4.9276680485115705,174,172,0
Kia Rio,economy,petrol,6.22,2012,22988,2016,5.2443103448275865,10384899.975491,0.1,107.1943675066249,-27.28063316500309,174,174,0
Kia Rio X-line,economy,petrol,3.68,2013,46131,2018,4.758275862068966,13679933.944001904,0.1,119.94281302305744,-0.8550432928217628,174,172,0
Tesla Model 3,premium,electro,4.64,2016,98304,2019,4.152241379310345,12913000.281348148,0.1,195.32130114292468,7.404675266659289,174,150,0
Smart ForTwo,economy,petrol,3.34,2014,58608,2022,3.862298850574712,22899359.77265416,0.1,196.48412024707844,3.041230192856565,174,173,1
Audi A3,premium,petrol,4.78,2015,75722,2018,4.32948275862069,12696806.422060529,0.1,184.9905588172024,-17.539413433430845,174,170,1
Hyundai Solaris,economy,petrol,4.12,2014,56308,2017,4.609597701149426,11377512.90616894,0.1,152.19880173051618,10.065974161817062,174,174,0
Hyundai Solaris,economy,petrol,4.12,2012,22767,2018,5.599597701149426,10298105.083385175,0.1,110.36229316417312,-6.388562316892271,174,172,0
Volkswagen ID.4 ,premium,electro,5.5,2013,41332,2018,4.426149425287356,6207781.504581535,0.0,163.3118428973253,13.96129204126239,174,152,0
Smart ForTwo,economy,petrol,4.48,2016,94443,2017,4.044252873563218,19810051.16549206,0.0,170.44005858234846,-1.1017230611834952,174,172,0
Kia Rio X,economy,petrol,3.94,2015,81129,2018,4.016551724137931,23873170.5257288,0.1,193.7883486812672,-1.9884913201985224,174,172,0
