feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target_reg,target_class
0,5.412471264367816,173,1,2.45466645735287,127960,148.67654746420033,13113056.556686219,0,0,0,21,2017,114.76509097859255,2016,0.1,1,174,18,3.36,35.85,break_bug
0,4.767241379310345,171,1,9.110570671628304,65491,145.400119147132,15549613.848861823,0,0,0,44,2014,200.0,2020,0.94,1,174,7,4.5,59.35,another_bug
0,4.528275862068965,173,1,1.7236224712969204,48102,184.27678051921998,7160229.937664421,0,0,0,23,2013,93.0,2014,0.83,1,174,6,3.28,44.75,gear_stick
0,4.7267816091954025,173,1,-9.065502391670648,41678,126.5009294360679,13616139.528563347,0,0,0,6,2013,184.65280134161125,2021,0.1,1,174,20,5.48,44.03,engine_check
0,4.709425287356322,174,1,13.82437351808996,5779,151.10321036217036,5237796.074396456,0,0,0,7,2011,200.0,2020,0.1,1,174,23,4.96,83.11,another_bug
0,4.942816091954023,169,1,8.846006519985204,1620,182.9801597162118,13228508.26505785,0,0,0,0,2011,198.4960648017726,2017,0.1,1,174,22,6.1,84.18,another_bug
0,5.625689655172414,174,1,-2.653718116944301,65715,129.0388127478725,10932046.498185921,0,0,0,25,2014,105.46758568154976,2015,0.1,1,174,20,5.24,36.01,break_bug
0,4.128333333333334,171,1,-6.231317026923518,122283,128.03397211239326,24899012.186261423,0,0,0,2,2017,197.82220126115232,2018,0.1,1,174,19,3.5,34.86,engine_fuel
0,4.487586206896552,172,1,10.288151108950691,2356,95.50925860789764,11367338.944639785,0,1,0,49,2011,110.00034335023408,2017,0.1,0,174,15,4.66,21.74,gear_stick
0,4.078908045977012,171,1,17.397165271659382,83147,164.10455902483744,7046024.974381741,0,1,0,18,2015,177.87662954667886,2020,0.1,0,174,16,5.9,33.4,engine_fuel
0,4.150977011494253,172,1,-1.8990643484478968,83400,156.6178989024656,6636083.92089784,0,0,0,49,2015,194.5313150545371,2014,0.1,1,174,7,4.2,59.96,engine_ignition
0,4.130114942528736,173,1,-10.973928059976847,115037,166.3113312187234,10544424.640253257,0,0,0,14,2016,186.1179531519749,2019,0.1,1,174,20,4.54,24.06,engine_overheat
0,4.12919540229885,169,1,-12.321803068683252,93891,150.56157174396287,12551484.935395667,0,0,0,28,2016,169.63485855560504,2021,0.1,1,174,18,3.2,42.17,engine_fuel
0,4.688908045977011,172,1,2.6128438207497275,97573,102.21617040178101,17537658.135521796,0,0,0,21,2015,185.514166971624,2016,0.1,1,174,6,2.64,50.39,another_bug
0,4.618735632183908,172,1,0.7181543700404677,71259,150.10924090888827,10472895.209589537,0,0,0,41,2015,200.0,2018,0.1,1,174,6,5.52,64.66,another_bug
0,4.075114942528735,170,1,-10.04701304588536,61422,193.09981690962803,13199274.876581397,0,0,0,18,2014,181.64439680780143,2019,0.1,1,174,19,4.28,37.14,engine_overheat
0,4.743793103448276,172,1,0.014735325418866501,111195,149.53713047425575,16317018.146921944,0,0,0,2,2017,140.44699308194205,2019,0.17,1,174,18,4.52,39.01,wheel_shake
0,4.428275862068966,173,1,1.1557860893968834,87819,137.14386539798352,7410788.830233022,0,0,0,31,2015,123.37593392777023,2017,0.27,1,174,20,4.58,26.32,gear_stick
0,4.773735632183908,170,1,3.15198816027763,23940,178.7466068048126,13643079.140211385,0,0,0,20,2012,200.0,2015,0.1,1,174,8,4.2,69.04,another_bug
0,4.326781609195402,174,1,5.427306492578289,88949,135.7027128547503,11134864.28413552,0,0,0,12,2015,180.0203032805705,2018,0.0,1,174,20,3.42,30.37,electro_bug
0,4.660172413793103,173,1,0.1927822603920015,58610,158.87868647306294,7117682.887295571,0,0,0,27,2014,101.33342383388566,2017,0.1,1,174,5,3.86,30.84,gear_stick
0,4.508735632183908,173,1,0.9332636818850368,63542,96.51162660550001,12257465.877975475,0,0,0,11,2014,184.71372771282304,2016,0.0,1,174,19,5.5,33.86,electro_bug
0,4.48896551724138,173,1,-5.417450182327437,615,154.92078796044677,22445842.889552943,0,1,0,4,2011,183.22681514600075,2020,0.0,0,174,16,5.02,33.98,electro_bug
0,4.250344827586207,172,1,-7.835329982244568,83258,131.44728558045858,17464371.7877495,0,0,0,31,2015,147.89459568795888,2018,0.1,1,174,19,3.7,49.23,engine_check
0,4.094597701149426,172,1,-3.1679374194081498,27706,173.89921237682387,18966295.51886089,0,0,0,8,2012,176.99379609339857,2017,0.0,1,174,7,6.26,27.72,electro_bug
0,4.126149425287356,174,1,4.433547178809407,44425,150.41298937088897,9099348.39400224,0,0,0,32,2013,188.59922276244063,2020,0.1,1,174,20,3.04,63.37,engine_ignition
0,4.3148275862068965,173,1,-6.705341871041291,1652,126.02026997892747,23901996.70615943,0,0,0,24,2011,177.2981381736654,2022,0.1,1,174,23,4.5,37.92,engine_fuel
1,4.518908045977011,170,1,-8.475321488920136,135954,178.94071442269768,5814946.432639458,0,0,0,46,2017,114.84970127022628,2022,0.1,0,174,2,2.0,30.72,gear_stick
0,5.533275862068965,173,1,11.18298784284082,44779,108.29126091227405,18676758.337071527,0,1,0,39,2013,104.22328012840455,2017,0.18,0,174,15,4.68,24.17,break_bug
0,4.600689655172414,172,1,1.9028970261494436,88111,177.78217919672568,18309544.366387468,0,0,0,8,2015,121.07977547660052,2018,0.18,1,174,19,5.38,38.22,gear_stick
0,4.1273563218390805,171,1,-4.260394513090244,77338,119.0015449888406,15880498.54746297,0,0,0,10,2015,193.645324669373,2022,0.1,1,174,8,3.74,36.34,engine_overheat
0,4.216609195402299,174,1,0.6495237475001585,91189,101.28156021650959,16903716.422258433,0,0,0,11,2015,197.3488342214413,2015,0.0,1,174,20,4.48,36.05,electro_bug
0,4.412298850574713,170,1,-0.393437726524771,58672,141.30699583676187,10579085.762154564,0,0,0,42,2014,113.82939431100496,2015,0.1,1,174,5,3.54,24.2,gear_stick
0,4.766666666666667,173,1,-25.397495923778322,63384,194.0662905881561,7906417.480247062,0,0,0,17,2014,129.6853748483422,2014,0.19,1,174,23,5.4,27.32,wheel_shake
0,4.315344827586207,173,1,18.20155998480693,60223,194.91436334718279,15257080.255438067,0,0,0,33,2014,190.9910571353205,2016,0.1,1,174,6,5.32,54.55,engine_ignition
0,4.161149425287356,166,1,9.149942544508598,124735,180.8129018436416,10782474.345834635,0,0,0,32,2017,176.56524090555132,2022,0.1,1,174,24,4.42,52.37,engine_fuel
0,4.55919540229885,171,1,-7.417297023223349,48566,172.16838328344576,15402481.343717095,0,0,0,38,2013,128.91492010164893,2016,0.1,1,174,8,3.84,34.05,wheel_shake
0,4.65367816091954,174,1,5.989806120968925,82616,165.97190014607207,14152348.192536922,0,0,0,4,2015,106.34596064962534,2019,0.1,1,174,23,2.86,25.26,gear_stick
0,4.78971264367816,172,1,-6.155537012974785,78165,172.09315470783014,6800021.218880275,0,1,0,30,2015,178.90312821067562,2018,0.11,0,174,16,4.88,60.3,engine_check
0,3.96,171,1,-16.34455813904087,81340,154.02474172172842,12938114.571271162,0,1,0,23,2015,188.4173196113646,2018,0.1,0,174,14,3.02,38.42,engine_overheat
0,5.191551724137931,172,1,0.2605946507006474,19782,105.60392570294344,11423154.315575622,0,0,0,27,2012,108.06679720936305,2017,0.1,1,174,8,5.22,38.85,break_bug
0,4.455689655172414,171,1,-3.216349242787854,56278,121.38576490789742,7463101.056959386,0,0,0,22,2014,187.0,2020,0.1,1,174,24,2.92,30.49,engine_overheat
0,4.634080459770115,172,1,4.641053604128408,64677,95.94744891791227,10759616.693813754,0,1,0,21,2014,106.227971840157,2016,0.1,0,174,14,4.04,33.12,gear_stick
0,4.283448275862069,173,1,-7.392840636726157,59925,146.05277783417984,8279248.133412535,0,0,0,41,2014,199.29593874841584,2015,0.1,1,174,22,3.86,65.92,engine_ignition
0,4.050977011494253,172,1,10.780087212913699,66086,157.2361481711546,16258212.364743954,0,0,0,29,2014,173.03988598342457,2022,0.1,1,174,5,3.26,36.43,engine_fuel
0,5.431494252873564,174,1,7.59735429658593,2350,182.93772138871103,11291311.983756952,0,0,0,31,2011,111.28419645369831,2014,0.33,1,174,22,2.74,49.11,break_bug
0,4.946954022988506,172,1,-2.661700639257893,98522,155.43749522619044,5997630.453929257,0,0,0,6,2015,190.0,2016,0.1,1,174,22,5.7,52.32,another_bug
0,4.573448275862069,171,1,-14.349663075693634,94217,105.7707741112861,14437615.30394679,0,0,0,23,2016,120.8184660589458,2021,0.54,1,174,18,3.46,35.58,wheel_shake
0,4.250287356321839,170,1,6.004945501145409,52024,171.53822605025715,18549255.070538126,0,1,0,6,2013,190.0276265442097,2017,0.1,0,174,16,3.62,37.79,engine_overheat
0,4.845114942528736,172,1,-6.732698026584501,85137,128.59307915306925,23356332.759699725,0,0,0,21,2015,165.0,2018,0.1,1,174,22,3.7,56.63,engine_check
0,4.2667816091954025,172,1,10.180102815314388,53632,138.29438147583787,11642334.221801773,0,0,0,17,2013,169.7553980877255,2019,0.1,1,174,5,2.5,30.04,engine_fuel
0,4.129540229885057,172,1,8.30425881052195,22419,102.23155120319461,18377032.53300276,0,1,0,37,2012,190.9486179582776,2019,0.1,0,174,16,3.86,44.43,engine_overheat
0,4.36580459770115,172,1,-19.733319009458192,123522,133.00821263168444,8873414.409022775,0,0,0,38,2017,170.41374318782368,2021,0.0,1,174,19,4.94,51.99,electro_bug
0,4.537413793103449,173,1,-3.5592974928823233,17883,111.92610350267645,9446650.471709933,0,0,0,38,2012,126.29707254786732,2022,0.1,1,174,23,4.9,39.85,wheel_shake
0,3.9151724137931034,171,1,6.1413651493799835,3472,118.64918772727255,17381386.900779687,0,1,0,38,2011,183.18043036573516,2019,0.1,0,174,9,4.18,40.24,engine_overheat
0,5.433850574712643,174,1,5.788527667461603,56089,151.93379898198094,8465943.038215222,0,0,0,11,2014,120.24237644534138,2019,0.1,1,174,17,5.74,28.26,break_bug
0,5.585459770114943,171,1,-21.37221654259011,49285,144.9031002639902,12514675.236626869,0,0,0,34,2013,111.80037660700118,2021,1.1,1,174,22,4.22,44.18,break_bug
0,3.90764367816092,173,1,12.346048608740531,5777,114.85191917239474,15355911.100492364,0,1,0,31,2011,199.88021988568985,2020,0.1,0,174,9,4.2,27.29,engine_overheat
0,4.5279885057471265,174,1,-2.8168903429528003,79021,133.8035020756153,11412318.174006183,0,0,0,38,2015,116.11252091498324,2019,0.1,1,174,19,3.4,34.58,gear_stick
0,4.356896551724138,173,1,-2.5614802287685663,86954,140.26434749093517,8072315.566807155,0,1,0,18,2015,112.3748593866485,2019,0.1,0,174,15,5.4,44.42,gear_stick
0,4.321666666666667,171,1,-5.096851446640629,3304,191.42701042419583,14865858.395381073,0,1,0,42,2011,185.3314579596784,2014,0.1,0,174,15,3.22,34.58,engine_fuel
0,4.599425287356322,168,1,-5.188273967091494,62465,134.67073008110373,9228017.543918168,0,1,0,49,2014,162.0,2020,0.12,0,174,14,4.24,50.66,engine_check
0,4.170344827586207,173,1,-1.1076266921141165,62893,126.90047601004399,11998230.314472673,0,0,0,28,2014,187.2505821065114,2016,0.0,1,174,23,3.8,30.37,electro_bug
0,4.063850574712644,172,1,2.1924917859433544,45449,166.54105564348407,14885604.206422608,0,0,0,34,2013,188.0803971727431,2017,0.1,1,174,7,2.92,40.66,engine_overheat
1,4.379425287356321,173,1,8.984242774540864,36753,111.39747371386156,11926354.419106858,0,0,0,5,2013,182.4715160738816,2019,0.0,0,174,2,3.82,31.22,electro_bug
0,4.284080459770115,173,1,8.50063387229902,92111,101.81912177048497,17875254.98403826,0,0,0,10,2015,117.09976056082884,2016,0.25,1,174,17,4.64,31.89,gear_stick
0,4.522758620689656,173,1,0.3253052034531778,92727,163.26672865093764,19278903.36208906,0,0,0,44,2015,100.82241211909948,2017,0.1,1,174,23,5.16,27.59,gear_stick
0,4.410057471264368,173,1,-15.235401150639433,132600,188.48235695362,18615633.243254166,0,0,0,24,2017,173.46117014572314,2019,0.1,1,174,24,4.16,56.99,engine_overheat
0,4.371149425287356,172,1,-2.122749655234274,48070,115.73183927186595,10039257.06231372,1,0,0,40,2013,182.4054623537517,2016,0.1,0,174,13,3.26,53.26,engine_overheat
0,4.582643678160919,173,1,-8.077716154917567,74942,163.73326928427417,16014487.472903354,0,0,0,38,2014,133.75549274617546,2015,0.19,1,174,23,4.16,33.41,wheel_shake
0,4.619080459770115,170,1,-20.689066026218388,24989,103.0257584927943,5187867.283179343,0,1,0,36,2012,161.0997471912929,2021,0.1,0,174,14,3.36,54.06,engine_check
0,4.344080459770115,173,1,16.65384903902447,43382,173.5243508212427,8092773.3986076275,0,0,0,23,2013,102.91040144607732,2020,0.1,1,174,24,4.7,30.48,gear_stick
0,5.450287356321839,174,1,1.5790237585096838,77172,189.16551893140849,17904842.255405232,0,0,0,26,2015,116.39574633496532,2020,0.35,1,174,5,4.0,39.26,break_bug
0,3.98316091954023,173,1,14.521287043803671,3464,98.89146584074126,9052838.973162347,0,1,0,17,2011,190.7470176287871,2018,0.0,0,174,16,3.74,36.74,electro_bug
0,4.257758620689655,173,1,-15.310851440534073,119707,161.11182989738074,10828327.45690297,0,0,0,17,2017,185.4535917376293,2021,0.1,1,174,18,5.06,32.69,engine_overheat
0,4.13735632183908,173,1,3.9571690911330997,59615,159.05110605442678,5878477.413232552,0,0,0,4,2014,185.08971388253804,2019,0.1,1,174,8,5.48,50.89,engine_ignition
0,4.731551724137931,171,1,-7.776048350304018,124836,171.79343027547907,7937444.141161504,0,0,0,36,2017,153.28482205240246,2016,0.1,1,174,20,5.06,53.63,engine_check
0,5.414597701149425,173,1,-1.168393328991379,40281,143.25572426057195,18427386.97187734,0,0,0,30,2013,113.61741681708182,2019,0.45,1,174,5,4.1,36.6,break_bug
0,4.075344827586207,173,1,-16.338551565214686,80197,197.97990101395806,9669589.10797686,0,0,0,1,2015,190.5382565767293,2016,0.1,1,174,20,4.1,43.35,engine_overheat
0,3.9728735632183905,172,1,-14.018908097196093,4195,114.60587940466397,13433199.965725765,0,0,0,45,2011,178.35666518399452,2017,0.1,1,174,23,4.56,54.38,engine_ignition
0,4.303045977011494,173,1,-6.523425557569623,115934,160.48076627967998,16508518.397984102,0,0,0,39,2017,110.2657405334196,2016,0.1,1,174,19,2.84,37.83,gear_stick
0,4.065402298850574,171,1,-0.990310000422151,6510,179.05334838269567,8511307.423208365,0,0,0,46,2011,163.73599884789363,2016,0.1,1,174,8,4.58,50.91,engine_fuel
0,4.209942528735632,173,1,-3.995996551983974,74370,98.89423134322077,13663265.638322057,1,0,0,7,2015,194.07408482381788,2019,0.1,0,174,4,3.76,50.31,engine_overheat
0,4.51683908045977,170,1,0.9737104893135102,42825,140.17029659632857,8439590.613952367,0,0,0,20,2013,152.00961431052818,2015,0.1,1,174,17,6.66,53.17,engine_check
0,4.715,174,1,2.1748905873219924,88023,100.18244331552076,14936659.791035993,0,0,0,34,2015,158.11611649087635,2021,0.38,1,174,19,3.82,48.77,engine_check
0,4.314655172413793,170,1,7.421554077885163,61183,183.31324952978096,13077859.339389239,0,0,0,33,2014,176.73801830244295,2018,0.0,1,174,19,4.18,31.2,electro_bug
0,4.1112068965517246,172,1,11.853803485705129,48229,130.22639704553643,8328201.777366023,0,0,0,9,2013,172.50189197348104,2019,0.1,1,174,24,3.9,68.97,engine_ignition
0,3.9251149425287357,171,1,-0.6738196606974118,128159,179.37099876613127,19384103.001548592,0,0,0,5,2017,176.98447366780988,2017,0.1,1,174,17,3.48,29.64,engine_fuel
0,4.0504597701149425,172,1,-1.8347951382959486,22779,178.76594421768522,11657732.521843275,0,0,0,33,2012,185.20459528606315,2017,0.1,1,174,8,4.92,23.67,engine_overheat
0,4.966781609195403,171,1,12.726329180784605,53778,184.45029049050584,13456073.457068102,0,0,0,3,2014,191.0,2016,0.1,1,174,5,4.9,76.14,another_bug
0,4.113735632183908,172,1,-18.339584756765973,66742,195.9044713673015,20470240.35767672,0,0,0,12,2014,194.6902927915374,2020,0.1,1,174,18,4.82,50.69,engine_ignition
0,4.243045977011494,173,1,-2.725578569104384,23969,113.06449773090944,16032681.85213996,0,0,0,46,2012,194.9760786859866,2017,0.1,1,174,6,2.74,33.3,engine_overheat
0,4.592758620689655,174,1,-2.3215506054688366,40935,156.74835197755064,4848691.484802692,0,1,0,45,2013,200.0,2014,0.0,0,174,9,3.24,31.78,electro_bug
0,4.177816091954023,168,1,-0.0098672907577912,42671,194.57478947544638,8947959.861768516,1,0,0,33,2013,198.66357296673664,2020,0.1,0,174,12,3.4,61.65,engine_overheat
0,4.645747126436782,165,1,5.615169732211963,98453,134.91937821108186,10992980.314951971,0,0,0,0,2016,132.23199185530038,2020,0.55,1,174,24,4.72,32.95,wheel_shake
0,3.793333333333333,174,1,4.021505690244563,110641,95.94747920123233,15627687.237556016,0,0,0,8,2016,197.80040243732975,2020,0.1,1,174,17,5.42,65.54,engine_ignition
0,4.415344827586207,171,1,-2.7678034461343133,57754,120.44720928892437,13459437.298371134,0,0,0,34,2014,163.1092337025941,2020,0.1,1,174,8,4.6,30.7,wheel_shake
1,4.377528735632184,150,0,-12.876021346054179,61719,109.75029652234512,11607890.427970497,0,0,1,31,2014,101.94506386459577,2021,0.1,0,174,25,3.12,54.01,gear_stick
0,3.974310344827586,174,1,12.888572922755637,84448,150.68698588204074,11868777.854745377,0,0,0,42,2015,195.25376048904135,2016,0.1,1,174,8,4.7,58.43,engine_ignition
0,4.310977011494253,171,1,18.91741472488484,47335,99.8275021140556,19792821.766314894,0,1,0,13,2013,108.19316038700504,2016,0.1,0,174,15,5.4,34.32,gear_stick
0,4.57080459770115,169,1,0.8181436862003485,103957,146.24557497713337,12796948.057207199,0,0,0,14,2016,159.0,2022,0.1,1,174,24,3.48,57.66,another_bug
0,4.194252873563218,170,1,-3.5829765097425206,87410,120.73345245904554,14905803.898384497,0,0,0,11,2015,170.5838010799467,2018,0.1,1,174,23,3.94,41.9,engine_fuel
0,4.154655172413793,173,1,-1.251218644139295,22141,158.8342275523136,17640455.98186754,0,1,0,12,2012,200.0,2020,0.0,0,174,15,4.98,23.17,electro_bug
0,5.465977011494253,173,1,-0.001357339773720101,42724,95.26526140224577,16741558.330196299,0,1,0,40,2013,118.68357514584144,2020,0.71,0,174,15,4.88,22.28,break_bug
0,3.879367816091954,172,1,4.037509581032786,66185,139.98624440724564,12802343.358147822,0,0,0,19,2014,161.65108879273882,2017,0.1,1,174,17,4.84,29.52,engine_fuel
0,4.753850574712644,171,1,-2.490571929189003,2664,98.14494221165283,14186368.277124694,0,0,0,27,2011,191.3114963781613,2016,0.7,1,174,5,3.12,65.64,another_bug
0,4.607471264367816,171,1,6.509565867718706,106360,149.46103990321245,19525811.785484195,0,0,0,1,2016,173.0,2019,0.26,1,174,17,3.98,58.01,another_bug
0,4.594942528735632,172,1,-1.875788549105918,86195,181.75095295540925,16888920.57601766,0,0,0,36,2015,159.0,2022,0.16,1,174,23,1.9,51.73,engine_check
0,3.971034482758621,172,1,-12.222694289893397,65440,182.74354182860586,10427202.01743424,0,0,0,30,2014,182.81899273276517,2020,0.1,1,174,7,3.78,29.17,engine_overheat
0,3.8201724137931037,174,1,15.149635472292267,82262,104.45256581202418,10681646.253036292,0,1,0,35,2015,199.30777215859277,2015,0.1,0,174,14,5.62,51.86,engine_ignition
0,4.57551724137931,173,1,1.929159951208576,91432,161.2180744580223,14010051.899571966,0,0,0,30,2015,93.0,2022,0.1,1,174,17,4.54,41.28,gear_stick
0,5.386954022988506,170,1,14.187425451817914,24705,151.91384872768788,7451944.1111442335,0,0,0,16,2012,113.43349206822596,2016,0.1,1,174,8,5.02,35.48,break_bug
0,4.6945977011494255,169,1,-7.360419870587242,67369,124.00772885771339,10153492.767244918,0,0,0,4,2014,193.0,2015,0.1,1,174,8,3.78,50.23,another_bug
0,4.188563218390804,172,1,13.2969284622611,41452,130.8571037479956,10636146.466990134,0,0,0,20,2013,179.1322756503049,2017,0.1,1,174,24,4.24,37.34,engine_fuel
0,4.133390804597702,170,1,-7.6974964142557525,65872,124.55564354538045,17227251.31075008,0,0,0,39,2014,187.40151060701365,2017,0.1,1,174,22,4.2,54.82,engine_ignition
0,4.289137931034483,174,1,3.480507883606463,69822,108.06410346398877,10971575.182838557,0,0,0,49,2014,187.92066605960804,2021,0.0,1,174,6,6.02,35.42,electro_bug
0,4.606034482758621,174,1,-8.924734043175732,39692,128.52594552342035,11360905.55087432,0,0,0,10,2013,160.0,2016,0.1,1,174,22,3.06,66.86,engine_check
0,4.056494252873564,170,1,7.752439046501321,81963,107.02326807974912,9335110.404049208,0,1,0,34,2015,161.09125877225728,2017,0.1,0,174,14,4.02,30.14,engine_fuel
0,4.672758620689655,170,1,4.052626194359176,18476,160.02830052726176,10450062.915902354,1,0,0,13,2012,157.0,2017,0.3,0,174,11,5.64,59.92,engine_check
0,4.161781609195402,172,1,-0.06762754349439125,57648,187.35975867890596,9396349.858329322,0,0,0,4,2014,198.3125730991541,2018,0.1,1,174,5,4.08,62.87,engine_ignition
0,4.439137931034483,171,1,-4.897864127570647,56916,112.38837627231108,8601749.482564487,0,1,0,27,2014,112.58545404837054,2022,0.1,0,174,9,3.98,41.48,gear_stick
0,4.446551724137931,172,1,-0.5080855948020266,47288,153.49772781496318,8451909.26204301,0,0,0,28,2013,136.63040685162372,2019,0.1,1,174,22,3.52,37.92,wheel_shake
0,4.259597701149425,169,1,-15.214752509565795,24647,142.89481154483568,16819457.20151957,0,1,0,36,2012,172.9793299903048,2019,0.1,0,174,16,4.32,36.37,engine_fuel
0,4.054770114942529,172,1,10.065242905855353,129835,164.23141419317665,10132590.729948888,0,0,0,17,2017,197.73130911925824,2015,0.1,1,174,17,5.7,45.73,engine_overheat
0,4.9033908045977,170,1,1.919362813492782,44794,96.32169954513198,15465661.02356594,0,0,0,38,2013,197.06420862972595,2021,0.1,1,174,18,3.64,99.03,another_bug
0,3.8718390804597704,173,1,-7.931646745595003,80882,161.48016207344483,18877752.168065876,0,0,0,44,2015,189.418776342528,2022,0.1,1,174,24,3.1,54.76,engine_ignition
0,5.328275862068965,172,1,-23.835209206967974,90795,149.00637330896205,12559181.76317594,1,0,0,31,2015,117.9614761947394,2019,0.1,0,174,13,6.04,40.37,break_bug
0,4.195402298850575,172,1,6.814229005463057,67592,124.3649722263095,8931673.127421504,0,1,0,33,2014,198.29696172295763,2021,0.1,0,174,16,2.96,42.44,engine_overheat
0,4.127528735632184,174,1,-10.632353946180778,18438,154.26428847792602,16279922.671474522,0,0,0,32,2012,189.4819261617484,2019,0.1,1,174,6,5.78,56.3,engine_ignition
0,4.701724137931035,172,1,-0.2616533706041352,132475,113.03066197082583,15012824.899423264,0,0,0,37,2017,168.04561761944154,2020,0.42,1,174,17,4.06,51.42,engine_check
0,4.539540229885057,171,1,-12.663911998747189,30101,145.1006761827828,11118356.335060861,0,0,0,47,2012,168.8894381584821,2020,0.1,1,174,23,4.08,80.1,another_bug
0,4.320574712643678,170,1,-2.66748255654623,3520,121.61358143545161,9363454.541867647,0,1,0,8,2011,188.67163067281936,2017,0.1,0,174,16,2.86,50.42,engine_ignition
0,4.256264367816092,168,1,9.394843121739296,38431,117.59564491423995,10615759.486011952,0,0,0,27,2013,184.88662278210808,2020,0.0,1,174,20,5.84,35.48,electro_bug
